Date,Variação Total (R$),Variação Percentual,Nome
2022-08-26,76.7999951171875,0.39933441720667373,PETR4
2022-08-29,83.51999633789063,0.4342761872810452,PETR4
2022-08-30,67.12000244140626,0.34900167658801085,PETR4
2022-08-31,73.51999633789063,0.3822795150680669,PETR4
2022-09-01,78.47998779296876,0.40806982005495396,PETR4
2022-09-02,75.0399853515625,0.3901829521191895,PETR4
2022-09-05,74.40000122070313,0.3868552476118092,PETR4
2022-09-06,64.47998779296876,0.3352744789567843,PETR4
2022-09-08,62.07999389648438,0.3227953093619196,PETR4
2022-09-09,62.00000732421876,0.3223794058039662,PETR4
2022-09-12,59.51999633789063,0.30948417396989725,PETR4
2022-09-13,52.879996948242194,0.27495838679410456,PETR4
2022-09-14,56.640006713867194,0.29450918632418466,PETR4
2022-09-15,56.15999572753907,0.2920132889327114,PETR4
2022-09-16,53.92000549316407,0.2803660851350045,PETR4
2022-09-19,57.84000366210938,0.300748771121617,PETR4
2022-09-20,56.40000122070313,0.293261237628448,PETR4
2021-05-13,-6.408691390902277e-06,-1.8990403249929955e-08,VALE3
2021-05-14,-5.790007324218735,-0.017157102332707286,VALE3
2021-05-17,2.909997253417984,0.008622980571363348,VALE3
2021-05-18,6.329995422363297,0.018757209299680833,VALE3
2021-05-19,-0.7199999999999847,-0.0021335229798203903,VALE3
2021-05-20,-4.139998168945297,-0.012267751708137875,VALE3
2021-05-21,-9.269995422363266,-0.027469094800614213,VALE3
2021-05-24,-8.13000366210936,-0.024091041165464677,VALE3
2021-05-25,-16.319990844726547,-0.048359827080115436,VALE3
2021-05-26,-6.870009155273422,-0.02035739222826749,VALE3
2021-05-27,-4.500006408691391,-0.013334537614280939,VALE3
2021-05-28,-2.7000109863281097,-0.008000743729303705,VALE3
2021-05-31,6.86999633789064,0.02035735424746088,VALE3
2021-06-01,2.129990844726578,0.006311645019487999,VALE3
2021-06-02,6.930009155273453,0.0205351858099192,VALE3
2021-06-04,1.230004577636734,0.003644781988433765,VALE3
2021-06-07,-2.069990844726547,-0.006133851437836069,VALE3
2021-06-08,-7.710005493164047,-0.02284649151973228,VALE3
2021-06-09,-0.8700091552734222,-0.002578034063097201,VALE3
2021-06-10,-1.9799945068359222,-0.005867171917017577,VALE3
2021-06-11,5.54998901367189,0.016445873747805484,VALE3
2021-06-14,3.6900036621093903,0.010934316123238697,VALE3
2021-06-15,-2.9699999999999847,-0.00880078229175918,VALE3
2021-06-16,-13.019995422363266,-0.0385811936538456,VALE3
2021-06-17,-19.769995422363266,-0.05858297158966208,VALE3
2021-06-18,-10.20001098632811,-0.030224941435766484,VALE3
2021-06-21,-7.139998168945297,-0.021157430790723075,VALE3
2021-06-22,-3.269995422363266,-0.009689736635443924,VALE3
2021-06-23,1.7399990844726716,0.005156011154984652,VALE3
2021-06-24,-4.38000366210936,-0.012978942312233288,VALE3
